cmd_vx,cmd_vy,cmd_wz,code,detail,elapsed_s,f1,f2,f3,family,kind,low_code,result,size,t,type,value
,,,0x11050F02,,11.652,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:56.439,1,12
,,,0x11050F01,,11.952,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:56.939,0,77
,,,0x11050F03,,12.452,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:56.939,1,12
,,,0x11050F02,,12.453,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:56.939,1,12
,,,0x11050F02,,12.453,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:57.439,1,12
-0.1,0,0,,return (reverse),12.952,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:12:57.493,,
,,,0x11050F03,,12.952,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:57.738,1,12
,,,0x11050F01,,13.252,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:57.738,0,77
,,,0x11050F02,,13.252,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:57.939,1,12
,,,0x11050906,,13.453,,,,lowlevel,frame,0x0906,,12,2026-09-16T18:12:57.939,0,1
,,,0x11050F02,,13.954,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:58.496,1,12
,,,0x11050F03,,14.01,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:58.538,1,12
,,,0x11050F01,,14.052,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:58.539,0,77
,,,0x11050F02,,14.052,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:58.938,1,12
,,,0x11050F03,,14.452,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:12:59.409,1,12
,,,0x11050F01,,14.923,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:12:59.409,0,77
,,,0x11050F02,,14.923,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:59.439,1,12
0.0,0,0,,hold,15.454,,,,,command,,"{""ok"": true, ""via"": ""udp""}",,2026-09-16T18:12:59.993,,
,,,0x11050F02,,15.454,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:12:59.993,1,12
,,,0x11050F03,,15.507,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:13:00.138,1,12
,,,0x11050F01,,15.652,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:13:00.138,0,77
,,,0x11050F02,,15.652,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:13:00.439,1,12
,,,0x11050F03,,15.953,0.0,0.0,0.0,lowlevel,frame,0x0F03,,24,2026-09-16T18:13:00.939,1,12
,,,0x11050F01,,16.452,,,,lowlevel,frame,0x0F01,,12,2026-09-16T18:13:00.939,0,77
,,,0x11050F02,,16.453,0.0,0.0,0.0,lowlevel,frame,0x0F02,,24,2026-09-16T18:13:00.939,1,12
